Code,Food name in English,Scientific name,eligibility_status,eligibility_reason,eligibility_rule_id,eligibility_source
13_017,"Yeast, dried",,manual_review,Ambiguous nutrient-dense ingredient/condiment; review before allowing into TOPSIS.,R001,Project food-candidate eligibility rule; WAFCT food name
13_018,"Yeast extract, Marmite",,manual_review,Ambiguous nutrient-dense ingredient/condiment; review before allowing into TOPSIS.,R001,Project food-candidate eligibility rule; WAFCT food name
