Code,Food name in English,rank,topsis_score,nutrient,value_per_100g,rdi,percent_rdi
04_075,"Jute mallow (bush-okra), leaves, dried",3.0,0.613207505315616,"Phosphorus
(mg)",333.0,1250.0,26.640000000000004
04_075,"Jute mallow (bush-okra), leaves, dried",3.0,0.613207505315616,"Potassium
(mg)",1390.0,4700.0,29.574468085106382
04_075,"Jute mallow (bush-okra), leaves, dried",3.0,0.613207505315616,"Zinc
(mg)",2.89,11.0,26.272727272727277
04_075,"Jute mallow (bush-okra), leaves, dried",3.0,0.613207505315616,"Copper
(mg)",1.05,0.9,116.66666666666667
04_075,"Jute mallow (bush-okra), leaves, dried",3.0,0.613207505315616,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",965.0,900.0,107.22222222222221
04_075,"Jute mallow (bush-okra), leaves, dried",3.0,0.613207505315616,"Vitamin C
(mg)",38.0,90.0,42.22222222222222
04_075,"Jute mallow (bush-okra), leaves, dried",3.0,0.613207505315616,"Vitamin D 
(mcg)",0.0,20.0,0.0
04_075,"Jute mallow (bush-okra), leaves, dried",3.0,0.613207505315616,"Vitamin B12
(mcg)",0.0,2.4,0.0
04_075,"Jute mallow (bush-okra), leaves, dried",3.0,0.613207505315616,"Vitamin B6
(mg)",2.8,1.7,164.70588235294116
04_075,"Jute mallow (bush-okra), leaves, dried",3.0,0.613207505315616,"Thiamine (vitamin B1)
(mg)",0.16,1.2,13.333333333333334
04_075,"Jute mallow (bush-okra), leaves, dried",3.0,0.613207505315616,"Riboflavin (vitamin B2)
(mg)",2.5,1.3,192.3076923076923
04_075,"Jute mallow (bush-okra), leaves, dried",3.0,0.613207505315616,"Niacin, preformed
(mg)",4.9,16.0,30.625000000000004
04_075,"Jute mallow (bush-okra), leaves, dried",3.0,0.613207505315616,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",460.0,400.0,114.99999999999999
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Protein, total
(g)",17.4,50.0,34.8
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Fibre, total dietary or [fibre, crude]
(g)",13.6,28.0,48.57142857142857
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Calcium
(mg)",693.0,1300.0,53.307692307692314
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Iron
(mg)",42.3,18.0,234.99999999999997
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Magnesium
(mg)",265.0,420.0,63.095238095238095
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Phosphorus
(mg)",403.0,1250.0,32.24
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Potassium
(mg)",278.0,4700.0,5.914893617021277
06_039,"Benniseed, dried, raw",4.0,0.6015414379402395,"Zinc
(mg)",2.72,11.0,24.727272727272727
