Code,Food name in English,rank,topsis_score,nutrient,value_per_100g,rdi,percent_rdi
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",17100.0,900.0,1900.0
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Vitamin C
(mg)",21.0,90.0,23.333333333333332
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Vitamin D 
(mcg)",0.4,20.0,2.0
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Vitamin B12
(mcg)",89.0,2.4,3708.3333333333335
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Vitamin B6
(mg)",0.32,1.7,18.823529411764707
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Thiamine (vitamin B1)
(mg)",0.32,1.2,26.666666666666668
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Riboflavin (vitamin B2)
(mg)",3.3,1.3,253.84615384615384
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Niacin, preformed
(mg)",12.0,16.0,75.0
07_054,"Lamb liver, boiled* (without salt), drained",12.0,0.264291952564937,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",200.0,400.0,50.0
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Protein, total
(g)",26.0,50.0,52.0
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Fibre, total dietary or [fibre, crude]
(g)",0.0,28.0,0.0
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Calcium
(mg)",10.0,1300.0,0.7692307692307693
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Iron
(mg)",13.5,18.0,75.0
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Magnesium
(mg)",32.0,420.0,7.6190476190476195
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Phosphorus
(mg)",405.0,1250.0,32.4
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Potassium
(mg)",429.0,4700.0,9.127659574468085
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Zinc
(mg)",4.69,11.0,42.63636363636364
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Copper
(mg)",18.7,0.9,2077.7777777777774
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",16900.0,900.0,1877.7777777777778
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Vitamin C
(mg)",21.0,90.0,23.333333333333332
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Vitamin D 
(mcg)",0.4,20.0,2.0
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Vitamin B12
(mcg)",100.0,2.4,4166.666666666667
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Vitamin B6
(mg)",0.29,1.7,17.058823529411764
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Thiamine (vitamin B1)
(mg)",0.36,1.2,30.0
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Riboflavin (vitamin B2)
(mg)",3.3,1.3,253.84615384615384
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Niacin, preformed
(mg)",19.0,16.0,118.75
07_132,"Lamb liver, stewed* (as part of a recipe)",13.0,0.25001221516744,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",190.0,400.0,47.5
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Protein, total
(g)",21.4,50.0,42.8
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Fibre, total dietary or [fibre, crude]
(g)",20.9,28.0,74.64285714285714
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Calcium
(mg)",388.0,1300.0,29.846153846153843
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Iron
(mg)",16.1,18.0,89.44444444444444
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Magnesium
(mg)",112.0,420.0,26.666666666666668
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Phosphorus
(mg)",359.0,1250.0,28.720000000000002
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Potassium
(mg)",2790.0,4700.0,59.361702127659576
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Zinc
(mg)",2.14,11.0,19.454545454545453
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Copper
(mg)",0.36,0.9,40.0
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",249.0,900.0,27.666666666666668
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Vitamin C
(mg)",15.0,90.0,16.666666666666664
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Vitamin D 
(mcg)",0.0,20.0,0.0
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Vitamin B12
(mcg)",0.0,2.4,0.0
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Vitamin B6
(mg)",1.5,1.7,88.23529411764706
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Thiamine (vitamin B1)
(mg)",0.17,1.2,14.16666666666667
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Riboflavin (vitamin B2)
(mg)",0.3,1.3,23.076923076923077
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Niacin, preformed
(mg)",4.6,16.0,28.749999999999996
04_071,"Sicklepod, leaves, dried",14.0,0.2470341895218957,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",300.0,400.0,75.0
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Protein, total
(g)",23.8,50.0,47.6
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Fibre, total dietary or [fibre, crude]
(g)",0.0,28.0,0.0
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Calcium
(mg)",41.0,1300.0,3.1538461538461537
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Iron
(mg)",11.5,18.0,63.888888888888886
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Magnesium
(mg)",17.0,420.0,4.0476190476190474
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Phosphorus
(mg)",358.0,1250.0,28.64
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Potassium
(mg)",147.0,4700.0,3.127659574468085
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Zinc
(mg)",3.74,11.0,34.0
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Copper
(mg)",3.3,0.9,366.66666666666663
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",21700.0,900.0,2411.111111111111
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Vitamin C
(mg)",20.0,90.0,22.22222222222222
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Vitamin D 
(mcg)",1.3,20.0,6.5
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Vitamin B12
(mcg)",100.0,2.4,4166.666666666667
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Vitamin B6
(mg)",0.93,1.7,54.70588235294118
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Thiamine (vitamin B1)
(mg)",0.24,1.2,20.0
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Riboflavin (vitamin B2)
(mg)",1.8,1.3,138.46153846153845
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Niacin, preformed
(mg)",15.0,16.0,93.75
07_088,"Beef liver, grilled* (without salt or fat)",15.0,0.2452916689323232,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",280.0,400.0,70.0
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Protein, total
(g)",27.7,50.0,55.39999999999999
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Fibre, total dietary or [fibre, crude]
(g)",0.0,28.0,0.0
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Calcium
(mg)",7.0,1300.0,0.5384615384615384
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Iron
(mg)",13.6,18.0,75.55555555555556
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Magnesium
(mg)",22.0,420.0,5.238095238095238
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Phosphorus
(mg)",297.0,1250.0,23.76
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Potassium
(mg)",218.0,4700.0,4.638297872340426
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Zinc
(mg)",4.06,11.0,36.90909090909091
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Copper
(mg)",0.52,0.9,57.777777777777786
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",8510.0,900.0,945.5555555555555
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Vitamin C
(mg)",23.0,90.0,25.555555555555554
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Vitamin D 
(mcg)",1.8,20.0,9.0
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Vitamin B12
(mcg)",22.0,2.4,916.6666666666667
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Vitamin B6
(mg)",1.1,1.7,64.70588235294117
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Thiamine (vitamin B1)
(mg)",0.36,1.2,30.0
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Riboflavin (vitamin B2)
(mg)",2.0,1.3,153.84615384615384
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Niacin, preformed
(mg)",6.5,16.0,40.625
07_108,"Chicken liver, boiled* (without salt), drained",16.0,0.2381947082743278,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",1000.0,400.0,250.0
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Protein, total
(g)",14.5,50.0,28.999999999999996
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Fibre, total dietary or [fibre, crude]
(g)",7.6,28.0,27.142857142857142
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Calcium
(mg)",23.0,1300.0,1.7692307692307692
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Iron
(mg)",15.2,18.0,84.44444444444444
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Magnesium
(mg)",96.0,420.0,22.857142857142858
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Phosphorus
(mg)",402.0,1250.0,32.16
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Potassium
(mg)",332.0,4700.0,7.0638297872340425
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Zinc
(mg)",2.58,11.0,23.454545454545457
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Copper
(mg)",0.45,0.9,50.0
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",0.0,900.0,0.0
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Vitamin C
(mg)",0.0,90.0,0.0
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Vitamin D 
(mcg)",0.0,20.0,0.0
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Vitamin B12
(mcg)",0.0,2.4,0.0
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Vitamin B6
(mg)",0.35,1.7,20.588235294117645
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Thiamine (vitamin B1)
(mg)",0.29,1.2,24.166666666666668
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Riboflavin (vitamin B2)
(mg)",0.19,1.3,14.615384615384617
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Niacin, preformed
(mg)",2.0,16.0,12.5
01_024,"Pearl millet, IKMP 6 variety, whole grains, raw (Burkina Faso), n=1",17.0,0.2325663742168537,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",160.0,400.0,40.0
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Protein, total
(g)",13.5,50.0,27.0
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Fibre, total dietary or [fibre, crude]
(g)",10.5,28.0,37.5
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Calcium
(mg)",23.0,1300.0,1.7692307692307692
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Iron
(mg)",15.2,18.0,84.44444444444444
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Magnesium
(mg)",96.0,420.0,22.857142857142858
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Phosphorus
(mg)",402.0,1250.0,32.16
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Potassium
(mg)",332.0,4700.0,7.0638297872340425
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Zinc
(mg)",2.58,11.0,23.454545454545457
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Copper
(mg)",0.45,0.9,50.0
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",0.0,900.0,0.0
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Vitamin C
(mg)",0.0,90.0,0.0
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Vitamin D 
(mcg)",0.0,20.0,0.0
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Vitamin B12
(mcg)",0.0,2.4,0.0
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Vitamin B6
(mg)",0.35,1.7,20.588235294117645
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Thiamine (vitamin B1)
(mg)",0.29,1.2,24.166666666666668
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Riboflavin (vitamin B2)
(mg)",0.19,1.3,14.615384615384617
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Niacin, preformed
(mg)",2.0,16.0,12.5
01_021,"Pearl millet, IKMP 3 variety, whole grains, raw (Burkina Faso), n=1",18.0,0.2324170838630064,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",160.0,400.0,40.0
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Protein, total
(g)",13.3,50.0,26.6
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Fibre, total dietary or [fibre, crude]
(g)",11.7,28.0,41.785714285714285
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Calcium
(mg)",23.0,1300.0,1.7692307692307692
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Iron
(mg)",15.2,18.0,84.44444444444444
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Magnesium
(mg)",96.0,420.0,22.857142857142858
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Phosphorus
(mg)",402.0,1250.0,32.16
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Potassium
(mg)",332.0,4700.0,7.0638297872340425
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Zinc
(mg)",2.58,11.0,23.454545454545457
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Copper
(mg)",0.45,0.9,50.0
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",0.0,900.0,0.0
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Vitamin C
(mg)",0.0,90.0,0.0
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Vitamin D 
(mcg)",0.0,20.0,0.0
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Vitamin B12
(mcg)",0.0,2.4,0.0
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Vitamin B6
(mg)",0.35,1.7,20.588235294117645
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Thiamine (vitamin B1)
(mg)",0.29,1.2,24.166666666666668
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Riboflavin (vitamin B2)
(mg)",0.19,1.3,14.615384615384617
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Niacin, preformed
(mg)",2.0,16.0,12.5
01_023,"Pearl millet, IKMP 5 variety, whole grains, raw (Burkina Faso), n=1",19.0,0.2323903421151823,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",160.0,400.0,40.0
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Protein, total
(g)",12.2,50.0,24.4
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Fibre, total dietary or [fibre, crude]
(g)",8.8,28.0,31.428571428571434
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Calcium
(mg)",23.0,1300.0,1.7692307692307692
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Iron
(mg)",15.2,18.0,84.44444444444444
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Magnesium
(mg)",96.0,420.0,22.857142857142858
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Phosphorus
(mg)",402.0,1250.0,32.16
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Potassium
(mg)",332.0,4700.0,7.0638297872340425
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Zinc
(mg)",2.58,11.0,23.454545454545457
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Copper
(mg)",0.45,0.9,50.0
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",0.0,900.0,0.0
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Vitamin C
(mg)",0.0,90.0,0.0
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Vitamin D 
(mcg)",0.0,20.0,0.0
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Vitamin B12
(mcg)",0.0,2.4,0.0
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Vitamin B6
(mg)",0.35,1.7,20.588235294117645
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Thiamine (vitamin B1)
(mg)",0.29,1.2,24.166666666666668
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Riboflavin (vitamin B2)
(mg)",0.19,1.3,14.615384615384617
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Niacin, preformed
(mg)",2.0,16.0,12.5
01_022,"Pearl millet, IKMP 4 variety, whole grains, raw (Burkina Faso), n=1",20.0,0.2322199500009485,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",160.0,400.0,40.0
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Protein, total
(g)",10.9,50.0,21.8
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Fibre, total dietary or [fibre, crude]
(g)",8.6,28.0,30.71428571428571
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Calcium
(mg)",23.0,1300.0,1.7692307692307692
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Iron
(mg)",15.2,18.0,84.44444444444444
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Magnesium
(mg)",96.0,420.0,22.857142857142858
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Phosphorus
(mg)",402.0,1250.0,32.16
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Potassium
(mg)",332.0,4700.0,7.0638297872340425
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Zinc
(mg)",2.58,11.0,23.454545454545457
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Copper
(mg)",0.45,0.9,50.0
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",0.0,900.0,0.0
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Vitamin C
(mg)",0.0,90.0,0.0
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Vitamin D 
(mcg)",0.0,20.0,0.0
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Vitamin B12
(mcg)",0.0,2.4,0.0
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Vitamin B6
(mg)",0.35,1.7,20.588235294117645
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Thiamine (vitamin B1)
(mg)",0.29,1.2,24.166666666666668
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Riboflavin (vitamin B2)
(mg)",0.19,1.3,14.615384615384617
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Niacin, preformed
(mg)",2.0,16.0,12.5
01_025,"Pearl millet, IKMP 7 variety, whole grains, raw (Burkina Faso), n=1",21.0,0.232032376138299,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",160.0,400.0,40.0
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Protein, total
(g)",10.2,50.0,20.4
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Fibre, total dietary or [fibre, crude]
(g)",8.9,28.0,31.78571428571429
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Calcium
(mg)",23.0,1300.0,1.7692307692307692
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Iron
(mg)",15.2,18.0,84.44444444444444
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Magnesium
(mg)",96.0,420.0,22.857142857142858
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Phosphorus
(mg)",402.0,1250.0,32.16
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Potassium
(mg)",332.0,4700.0,7.0638297872340425
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Zinc
(mg)",2.58,11.0,23.454545454545457
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Copper
(mg)",0.45,0.9,50.0
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",0.0,900.0,0.0
01_032,"Pearl millet, combined varieties, whole grains, raw (Burkina Faso)",22.0,0.2319424138685175,"Vitamin C
(mg)",0.0,90.0,0.0
